Background,Clothing,Ear,Eyes,Face,Hair,Headgear,Mouth,Neck,Offhand,Special,Type,Unnamed: 0,image,name,num
Off White A,Pink Oversized Kimono,,Striking,,Water,,Frown,,Monkey King Staff,,Human,,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/0.png,Azuki #0,0
Off White D,White Qipao with Fur,,Daydreaming,,Pink Hairband,,Lipstick,,Gloves,,Human,,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/1.png,Azuki #1,1
Red,Vest,Red Tassel,Ruby,,Pink Flowy,,Chewing,,,,Human,2.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/2.png,Azuki #2,2
Red,Green Yukata,,Careless,,Green Spiky,Frog Headband,Grass,Frog Headphones,Katana,,Human,3.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/3.png,Azuki #3,3
Off White D,White Qipao with Fur,,Lightning,,Brown Dreadlocks,,Smirk,,Katana,,Human,4.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/4.png,Azuki #4,4
Red,Red Perfecto Jacket,,Suspicious,Red Stripes Face Paint,Blonde Swept Back,,Chuckle,,Leather Katana,,Human,5.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/5.png,Azuki #5,5
Off White A,Alpine Jacket,,Calm,,Teal Bun,,Tongue Out,,Leather Katana,,Human,6.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/6.png,Azuki #6,6
Off White A,Light Kimono,,Suspicious,,Orange Samurai,Full Bandana,Bubble Gum,,Leather Katana,,Human,7.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/7.png,Azuki #7,7
Off White B,Hoodie,,Relaxed,Blush,Silver Pixie,,Grass,Choker,,,Human,8.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/8.png,Azuki #8,8
Off White D,White Yukata,,Chill,,Silver Spiky,,Chuckle,,Bat,,Blue,9.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/9.png,Azuki #9,9
Off White C,Blue Kimono,,Closed,,Green Samurai,Black Bucket Hat,Chuckle,,Sakura Katana,,Human,10.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/10.png,Azuki #10,10
Off White D,White Hoodie,,Pensive,,Orange Swept Back,,Wheat Straw,,Golden Hook Sword,,Human,11.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/11.png,Azuki #11,11
Off White A,Black Yukata,,Suspicious,,Blonde Swept Back,,Relaxed,,Sakura Katana,,Human,12.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/12.png,Azuki #12,12
Off White A,Light Kimono,,Tired,,Teal Long,,Not Bad,,Bat,,Human,13.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/13.png,Azuki #13,13
Off White D,Light Kimono,,Closed,Red Fang Face Paint,Blonde Bob,,Smile,,Guitar,,Human,14.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/14.png,Azuki #14,14
Off White C,Hoodie,,Ruby,,Purple Bun,,Grin,Choker,Banner,,Human,15.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/15.png,Azuki #15,15
Red,Black Perfecto Jacket,Small Hoop,Closed,,Braids,Distressed Beanie,420,,Boombox,,Human,16.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/16.png,Azuki #16,16
Off White D,Denim Jacket,,Pierced Eyebrow,,Silver Disheveled,,Wheat Straw,,Bokken,,Human,17.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/17.png,Azuki #17,17
Off White D,Red Kimono,,Determined,Blue Sunglasses,Black Disheveled,,Closed,Chain,Lantern,,Human,18.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/18.png,Azuki #18,18
Red,Red Qipao with Fur,Red Cylinder,Determined,Red Fang Face Paint,Silver Bun,,Smoking,Tribal Tattoo,Floorsweeper,,Human,19.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/19.png,Azuki #19,19
Off White D,Camo Hoodie,,Bored,,Blue Half Bun,,Smirk,,Zanbato,,Human,,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/20.png,Azuki #20,20
Off White B,Green Yukata,,Tired,,Powder Blue Swept Back,,Tactical Knife,Zen Headphones,,,Human,21.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/21.png,Azuki #21,21
Off White B,Azuki Tech Jacket,,Indifferent,,Blue Short Spiky,Chef Headband,Relaxed,,Leather Katana,,Human,22.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/22.png,Azuki #22,22
Red,Black Qipao,,Amethyst,,Black Hairband,,Whistling,,Hand Seal,,Human,23.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/23.png,Azuki #23,23
Off White C,Turquoise Kimono,,Joyful,,Maroon Bun,Pointy Straw Hat,Frown,,Banner,,Human,24.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/24.png,Azuki #24,24
Off White B,Cloud Poncho,,Closed,,Maroon Half Bun,,Closed,Zen Headphones,Lantern,,Human,25.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/25.png,Azuki #25,25
Off White A,Blue Qipao,,Striking,,Blue Half Bun,,Smile,,Shuriken,,Human,26.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/26.png,Azuki #26,26
Off White D,Black Qipao,,Closed,Sleep Mask,Brown Blonde Flowy,,Lipstick,,,,Human,27.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/27.png,Azuki #27,27
Cool Gray,Black Yukata,,Determined,,Brown Messy,,Smoking,,,,Human,28.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/28.png,Azuki #28,28
Off White B,Kimono with Jacket,,Indifferent,Reading Glasses,Silver Disheveled,,Closed,,Floorsweeper,,Human,29.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/29.png,Azuki #29,29
Off White B,Azuki Sweater,,Bored,Red Stripes Face Paint,Brown Disheveled,,Relaxed,,Banner,,Human,30.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/30.png,Azuki #30,30
Off White D,Blue Qipao,,Closed,,Brown Blonde Flowy,,Smirk,Koi Tattoo,,,Human,31.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/31.png,Azuki #31,31
Off White C,Red Hoodie,,Relaxed,,Blue Nightshade Flowy,Black Bucket Hat,Relaxed,,,,Human,32.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/32.png,Azuki #32,32
Off White A,Red Floral Kimono,Corded Earbuds,Closed,,Teal Hairband,,Face Mask,,,,Human,33.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/33.png,Azuki #33,33
Off White D,Dress Shirt,,Chill,,Orange Short Spiky,Sloth Headband,Grass,,Banner,,Human,34.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/34.png,Azuki #34,34
Off White B,Maroon Yukata,Chill,Tired,,Orange Samurai,,Relaxed,,,,Human,35.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/35.png,Azuki #35,35
Cool Gray,Black Kimono,,Indifferent,Black Glasses,Buzzcut,IKZ Baseball Cap,Closed,,Boombox,,Human,36.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/36.png,Azuki #36,36
Off White A,White Hoodie,,Ruby,,Pink Bangs,,Tongue Out,,Floorsweeper,,Human,37.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/37.png,Azuki #37,37
Off White A,Camo Tech Jacket,,Joyful,,Indigo Bangs,,Smirk,,Katana,,Human,38.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/38.png,Azuki #38,38
Off White A,Light Armor,,Closed,,Pink Flowy,,Tongue Out,,Leather Katana,,Human,39.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/39.png,Azuki #39,39
Cool Gray,Straw Poncho,,Tired,,Brown Long,,Long Stubble,,Lantern,Fireflies,Human,40.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/40.png,Azuki #40,40
Off White B,Green Yukata,,Tired,,Blonde Long,,Grass,,Bat,,Human,41.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/41.png,Azuki #41,41
Off White A,Azuki Sweater,,Amethyst,,Orange Pixie,Backwards Cap,Smirk,,,,Human,42.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/42.png,Azuki #42,42
Off White B,Black Qipao,Stud,Determined,,Brown Blonde Flowy,,Laughing,,Bean Juice,,Human,43.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/43.png,Azuki #43,43
Off White D,Turquoise Kimono,,Determined,,Blonde Flowy,,Frown,Red Panda Headphones,Lantern,,Human,44.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/44.png,Azuki #44,44
Off White A,Turquoise Kimono with Bow,,Hopeful,,Purple Dreadlocks,,Laughing,Zen Headphones,,,Human,45.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/45.png,Azuki #45,45
Off White A,Frog T-Shirt,,Striking,,Indigo Ponytail,,Tongue Out,,Hand Seal,,Human,46.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/46.png,Azuki #46,46
Off White D,Brown Yukata,,Bored,,Purple Spiky,,Growl,,Skateboard,,Human,47.0,https://ikzttp.mypinata.cloud/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/47.png,Azuki #47,47
